epoch,train_loss,train_dice_wt,train_dice_tc,train_dice_ET,train_dice_NETC,train_dice_SNFH,train_dice_RC,val_loss,val_dice_wt,val_dice_tc,val_dice_ET,val_dice_NETC,val_dice_SNFH,val_dice_RC,lr
89,0.6124,0.7813,0.742,0.2456,0.7437,0.5863,0.455,1.2847,0.553,0.485,0.191,0.4716,0.3691,0.1785,6.25e-05
90,0.6043,0.7842,0.746,0.2459,0.748,0.5902,0.4662,1.3463,0.5557,0.4853,0.1841,0.4702,0.3537,0.1817,6.25e-05
91,0.6072,0.7802,0.7429,0.2426,0.7449,0.584,0.4674,1.2663,0.5704,0.4968,0.1992,0.4818,0.3729,0.1825,6.25e-05
92,0.6063,0.7827,0.745,0.2526,0.7469,0.5826,0.4596,1.2468,0.5725,0.491,0.1951,0.4709,0.3746,0.2157,6.25e-05
93,0.6063,0.7805,0.7419,0.247,0.7431,0.5849,0.4662,1.3757,0.5314,0.466,0.1848,0.4525,0.3281,0.1622,6.25e-05
94,0.6006,0.7868,0.7485,0.25,0.7509,0.5935,0.4643,1.4162,0.5184,0.455,0.2082,0.4395,0.3372,0.1863,6.25e-05
95,0.6027,0.7845,0.7465,0.2515,0.7478,0.5817,0.4688,1.4072,0.5325,0.4689,0.2036,0.4569,0.3267,0.1606,6.25e-05
96,0.603,0.7847,0.7461,0.2539,0.7473,0.5913,0.4656,1.3208,0.5606,0.4877,0.2175,0.4733,0.3696,0.1818,6.25e-05
97,0.6002,0.7861,0.7483,0.2561,0.7501,0.5829,0.4724,1.3962,0.5238,0.4548,0.2127,0.4408,0.3439,0.1832,6.25e-05
98,0.5967,0.7843,0.7467,0.2576,0.7479,0.588,0.4737,1.3752,0.5544,0.4881,0.208,0.474,0.3295,0.184,6.25e-05
99,0.6008,0.7864,0.7494,0.2523,0.7509,0.5912,0.4669,1.3149,0.5631,0.4945,0.1809,0.4802,0.3351,0.1827,3.125e-05
100,0.5997,0.7838,0.7457,0.2575,0.7466,0.5865,0.4647,1.634,0.4845,0.4158,0.1958,0.4075,0.3242,0.1789,3.125e-05
